fraud_id,transaction_id,account_id,detected_date,fraud_type,status,created_at
8012b300-4a4e-46d8-b590-fb8dfec83f56,5a0e9022-fcce-4dc0-906b-94841423a577,35b0851b-fa16-4b5e-b729-2aadce15d232,14-03-2025 17:51,Account Takeover,Resolved,14-03-2025 17:51
b131ddfe-9415-4367-9065-5a25bfd1d51e,b3ff4179-a530-4825-87a8-630dc20c7a27,37c8acf5-7a78-4e16-94cd-a9cc9ba272d9,14-03-2025 17:51,Phishing,Resolved,14-03-2025 17:51
54f18f9e-c57c-44cc-b6be-25e963d16379,0f09eccc-8bb9-41c4-a6b7-a8c57b16139d,5be27705-441e-4780-930a-1dfe6492e89b,14-03-2025 17:51,Account Takeover,Under Investigation,14-03-2025 17:51
ded75441-20c3-44e9-b641-ccc3ed8bbc65,f359f125-b939-4315-acc2-2cc54bb45779,fa7507c4-6ce9-4bf9-a804-c14ccdc4935c,14-03-2025 17:51,Phishing,Open,14-03-2025 17:51
72ad77c1-2dc9-407e-ba39-735a7e05c150,98465563-72ec-4705-8241-65100ce9eacd,c70582fa-86da-474a-9448-03989690b23f,14-03-2025 17:51,Card Fraud,Open,14-03-2025 17:51
1e54c6e1-5365-4270-8746-634192d5f6e1,6c5ebc78-6a59-4ea6-ad07-ea6f6d056006,ca3aad34-c62a-4b75-b1c9-945ab3ba0647,14-03-2025 17:51,Card Fraud,Resolved,14-03-2025 17:51
b42a505a-8f71-4923-855a-0dfd11bcaaf6,00de51b6-3118-4f4f-a863-22d4fa3f60cf,fdb732df-16e4-46cb-abfb-d888e33229fa,14-03-2025 17:51,Phishing,Under Investigation,14-03-2025 17:51
adf3a216-744a-410a-8e3e-fd77d751819b,5bcd468e-bb24-4957-a54b-274de8f19655,0544a8c8-9e52-4da5-939b-d698f2a4a38b,14-03-2025 17:51,Phishing,Resolved,14-03-2025 17:51
82007de9-c64d-4e7b-a03e-6dbfc9ee0014,959b6b15-3b47-4541-ae6a-4b0eab2edeb3,34b29107-3b98-42fe-98a8-533896418296,14-03-2025 17:51,Card Fraud,Open,14-03-2025 17:51
bef5237f-98a4-44b4-a8e3-4c96c0848f4d,55d4da35-2506-44bf-a848-d75c1a9e29b7,969ecac9-e874-44c9-9b43-37d7e811db8c,14-03-2025 17:51,Account Takeover,Open,14-03-2025 17:51
a005f4f8-c640-48c0-9d5c-7bc81d638f2f,e9d635d1-52ad-480a-8f3e-cbac400c9252,6c15b686-ef8c-43fa-8116-002b84cd5a9c,14-03-2025 17:51,Phishing,Resolved,14-03-2025 17:51
1471a345-3206-47b2-b435-5f00612139af,65812c1f-8fea-4147-a24d-459091f98cfb,30aeef04-f126-4287-acd8-05934f3feb16,14-03-2025 17:51,Phishing,Open,14-03-2025 17:51
7b946cd1-1f8b-4265-a3dd-5bcc286f9bbd,26fad5be-1b9d-4d80-bc45-8bc9f1984b78,94781bb3-4343-41b5-ba4f-fb4cef34efc6,14-03-2025 17:51,Phishing,Open,14-03-2025 17:51
aa285615-15dc-4811-8b00-79f1230bb339,5d8eb4e7-9c20-4365-aa41-89e956f9b091,71275476-4a32-4991-87ba-f7423040c6b4,14-03-2025 17:51,Phishing,Resolved,14-03-2025 17:51
90e66b7c-dee6-4560-adcc-fa2b7e08f504,87f2f9cb-a9b0-492a-b697-c7776fb490f6,7d9949d8-ebc6-4842-9c02-b71c8a5f2e49,14-03-2025 17:51,Account Takeover,Resolved,14-03-2025 17:51
