CONTRACT_ID,CUSTOMER_ID,CONTRACT_TYPE,POLICY_NO,START_DATE,END_DATE,COST_CENTER_CD,STATUS,CREATED_AT
364b9d01-92c7-4300-bcc0-81cfc785d2bb,6aed14fe-9ca4-48da-a4d4-d64e7c4784c0,Legal,350223,2018-08-05,2035-11-02,565,Active,2025-03-15 11:32:06
3346e4b7-f202-4769-b289-05e0a6df3bd6,bae88144-8d7b-4f34-be74-45f42936bf85,Service,739162,2017-01-03,2032-12-08,853,Terminated,2025-03-15 11:32:06
26794a84-51e0-4cb2-ad15-54e14ea7e056,bde97a69-b2c9-4c55-bf23-43d7a1c28e90,Service,678803,2022-03-29,2031-04-09,481,Active,2025-03-15 11:32:06
e85439cd-2e15-4560-8f64-04136e603d17,944ce844-0ba0-4364-a319-0a16cd89c1e8,Financial,743485,2023-08-18,2028-04-28,644,Terminated,2025-03-15 11:32:06
4383e51e-b5b0-4d83-ad8c-796e1fae69eb,52104c04-4e03-4a94-b3f2-ed19ad1d3f9d,Service,826119,2023-12-13,2033-01-14,196,Expired,2025-03-15 11:32:06
b3cbaefc-2a70-4d02-8297-dd1bc2c9cb6a,ba8bc310-cbf6-4a51-bc92-1952db02a217,Service,371846,2023-03-28,2036-10-20,863,Expired,2025-03-15 11:32:06
9899b832-f269-42fc-830b-d5787b38e36d,c6e48b8d-4cf5-4b70-a023-84962b242c09,Legal,437361,2016-12-31,2026-01-30,121,Terminated,2025-03-15 11:32:06
8f6d3629-2cce-46e3-9d80-fb6792a440b1,931ef8e9-2c46-44de-bc30-f49bea325e37,Legal,457599,2022-12-08,2028-07-21,565,Expired,2025-03-15 11:32:06
cbd256e7-7bc8-4556-bfd6-423a13ad9e71,ee9d96ba-6265-43e6-9c8d-5725ebf20209,Financial,625653,2023-06-09,2039-11-26,725,Active,2025-03-15 11:32:06
2e57bea0-281b-4d30-a974-83736f0eb8b2,c2585112-dd8c-47ad-b7fb-782891c5def6,Service,270599,2023-08-04,2032-10-04,612,Active,2025-03-15 11:32:06
f5a4b016-cea1-40a7-9c36-800b3e91fcee,913488a1-a827-44ad-b5e1-c52f866f1e74,Legal,188457,2017-05-14,2037-05-18,439,Expired,2025-03-15 11:32:06
cfb1fbd5-7b20-40d2-b32c-99b295596679,3fce2c8c-8d50-4f78-9bdd-5c5212c7f5fe,Service,148246,2018-06-09,2037-02-22,846,Expired,2025-03-15 11:32:06
4204fa97-22ae-4975-810e-695f6758f949,53feb2b8-0b0b-4d8d-8c7c-efdea39cd66b,Service,216088,2020-03-10,2032-02-04,717,Active,2025-03-15 11:32:06
2f00f943-6d53-4d63-9d20-4e0ce571d8f8,331f61b8-ebc3-430f-96ec-d37e3165e979,Service,786651,2018-09-26,2031-12-26,967,Terminated,2025-03-15 11:32:06
ab4279e0-e3d5-421d-b9aa-52c275dbc12e,6a15c8f0-0adc-4605-9c77-2b1c1b712a12,Financial,757352,2022-02-05,2029-03-24,386,Expired,2025-03-15 11:32:06
01df2844-522d-4284-9b7e-bc16520eba8e,0c83dec8-a932-4193-8775-2b46ea3b51ac,Service,228579,2015-12-15,2035-05-22,174,Terminated,2025-03-15 11:32:06
f7e14953-db73-4abe-bd75-910cc009a330,598ff8d0-f9d8-4c23-bc5e-220872117bae,Legal,173391,2020-06-12,2026-09-20,364,Active,2025-03-15 11:32:06
13d1b2b3-b726-418e-b047-af79c0aec03d,d9a462b4-1ef6-4741-81ac-54e84424c99f,Financial,501268,2023-10-31,2032-08-20,584,Terminated,2025-03-15 11:32:06
8ef1de15-d5d5-481d-8fba-3c9d573eabe3,1722770d-78a8-4360-b21c-1b1a74f44691,Legal,943664,2020-03-12,2035-09-07,818,Expired,2025-03-15 11:32:06
0ba196d7-c879-4da7-b9cb-4092b42e35d5,c9ac52ca-6531-4189-8f47-0ab59d1b8268,Financial,779033,2020-03-09,2034-09-18,898,Terminated,2025-03-15 11:32:06
d9ee9d97-e70d-4f97-b8e3-a6799f69ff1d,5fb24609-8150-45b0-8619-d2f5a7c2d27b,Financial,930217,2021-10-25,2029-11-09,439,Terminated,2025-03-15 11:32:06
41cae021-8e72-4d61-9497-3e9c2a96f395,071f9290-3976-4e3c-ab65-32b7f3f55a69,Service,471804,2019-11-25,2032-01-04,771,Active,2025-03-15 11:32:06
501dce5c-8e8b-4ecc-94a1-1866cccce474,6a9c01df-c1a1-47ad-9b79-02a94df13fc6,Service,244234,2019-04-23,2036-08-01,920,Active,2025-03-15 11:32:06
8273113f-e8ae-4b71-8629-0b95e53055cc,afac7fe8-a537-4531-945f-45201f78ad19,Financial,300150,2019-01-15,2027-08-13,961,Expired,2025-03-15 11:32:06
7492ab64-fc2d-4c8d-8f7d-c2a9e2462dde,ae9167aa-9098-419b-8ecc-990030fe1afd,Legal,471804,2023-06-26,2028-09-03,763,Terminated,2025-03-15 11:32:06
2d4dfdfc-032b-42e8-bcbb-bfed5b0c9145,eefe5f1d-235f-42f7-8377-a33a5964a1d5,Legal,771366,2017-07-28,2030-08-03,311,Terminated,2025-03-15 11:32:06
475ec5b0-8628-44fb-a923-9a51b29c7075,87c793e3-ec8a-4c4c-bb44-54d74a92319f,Service,700879,2017-11-30,2032-12-01,704,Terminated,2025-03-15 11:32:06
b6bbee85-c2bf-4ce9-89b5-f7dc56488fce,55cd38f4-f8dc-42df-be06-cf2b65dca0ba,Service,349480,2015-03-13,2026-07-20,502,Expired,2025-03-15 11:32:06
76337fcb-ddca-4020-936b-21b857791845,0302a610-256f-41c0-8405-e3aabd875e77,Legal,511558,2018-06-14,2037-05-03,713,Active,2025-03-15 11:32:06
28467f4e-46f7-48df-95c2-407533df776a,b45b85f5-cdb8-4803-856c-3a6851043ae3,Financial,752329,2022-09-19,2027-12-09,502,Expired,2025-03-15 11:32:06
976ca8e0-4f93-4646-a5af-c68fb36b5d79,887d94c1-a294-418e-a812-cdce26779021,Service,858721,2020-05-20,2028-03-09,612,Active,2025-03-15 11:32:06
4bb50288-ba59-4c68-9a87-55cc930584a4,a50c451c-687d-466a-9a1b-9a29508d9e87,Legal,171530,2022-02-04,2029-09-03,566,Terminated,2025-03-15 11:32:06
889196b7-43b6-48f2-a4c2-68d9a0c07773,bf50ac94-6e64-4fa1-8961-0a15f1c38cf9,Legal,676816,2018-12-03,2031-10-08,806,Expired,2025-03-15 11:32:06
ec073ec8-a985-4cf8-b49e-545a40766e9b,a655ed47-a33a-49e9-b345-844a5ddb6315,Legal,901028,2015-05-17,2032-04-27,583,Expired,2025-03-15 11:32:06
5a308b66-8ca9-400e-aa1f-36363cb95227,2fb25763-da6e-45bb-be21-b9cd83f02deb,Service,908421,2015-10-26,2033-08-26,583,Terminated,2025-03-15 11:32:06
3c79934f-5355-4133-874b-217879273f90,927c1501-2918-47bd-8884-1b6255338d05,Service,443730,2020-10-18,2037-07-03,968,Expired,2025-03-15 11:32:06
ddbf8b54-4c32-462d-8e60-6c1755ea95e0,c46e6c74-0cb3-4aef-b96f-0ddaae2d1892,Financial,959965,2020-10-24,2036-06-21,502,Terminated,2025-03-15 11:32:06
7080312a-ab90-4ef5-b9c5-41f0d557cc04,955471aa-e721-4825-89a7-cc19f427ab74,Financial,890599,2020-03-17,2025-03-01,364,Active,2025-03-15 11:32:06
b7b99fdd-2aa0-48ba-8216-2b631b284b54,8561eecc-8628-442a-b646-8e3fd1b21c7d,Service,951297,2015-08-14,2031-01-19,818,Expired,2025-03-15 11:32:06
