transaction_id,account_id,transaction_date,amount,transaction_type,merchant_id,status,created_at
727deebe-7f1f-4dfc-8814-93328413b0c5,49694,14-03-2025 17:35,903.46,Credit,fb93288f-53c7-451d-abed-14168438852b,Pending,14-03-2025 17:35
449a881a-b734-4d2a-945b-482ae5498c3e,53335,14-03-2025 17:35,4389.31,Credit,4c2924ba-0a33-4db1-8ee5-250358e3f0a5,Failed,14-03-2025 17:35
c17a83d5-e6f5-41d2-b2f6-b44c592744df,39256,14-03-2025 17:35,131.46,Debit,72ab3ed0-a897-4a79-bdbc-d6e269a3b94f,Completed,14-03-2025 17:35
29b32023-88c5-4f86-ae41-4d2bdeeb5a9a,18405,14-03-2025 17:35,1174.27,Debit,09fc94ff-6b8f-4e45-bf6f-7208b240d0d4,Completed,14-03-2025 17:35
8a0caf11-1c0d-40d8-a9e8-525770db1823,33412,14-03-2025 17:35,3647.13,Refund,5a6f62bf-8f53-42fc-98dd-62a72814d573,Completed,14-03-2025 17:35
fca6f889-27a6-471d-8435-1fb3134fd9e6,43405,14-03-2025 17:35,1925.69,Refund,ec556d03-eae6-4e9a-b20c-ad870cd4fce7,Completed,14-03-2025 17:35
f8cb736f-40cb-4254-984f-4da6e24c6805,57026,14-03-2025 17:35,2516.35,Debit,ca8e5e04-833b-422c-834c-1552da92448e,Pending,14-03-2025 17:35
7363d5df-e3e8-4e31-b894-73044f006279,26784,14-03-2025 17:35,1063.55,Credit,d4d92243-f83e-4488-9d4e-bf011bcc000c,Completed,14-03-2025 17:35
65f0ebe0-b025-44d2-9a63-6f57891f267e,18212,14-03-2025 17:35,1329.21,Refund,81cfff58-9f35-44dd-81e2-30915b8ca3d2,Pending,14-03-2025 17:35
dbfa3886-d115-42ca-b053-91c11438a60d,11328,14-03-2025 17:35,456.78,Transfer,24325fba-ca4b-4894-a695-262b10ce58a0,Completed,14-03-2025 17:35
2212afee-d8a3-4287-99fd-bb4f75acd763,64325,14-03-2025 17:35,94.2,Transfer,c471bd21-84bc-455a-9794-434ab8a42472,Pending,14-03-2025 17:35
8eb03d32-62ce-4369-97ad-e4cd747f7baf,16015,14-03-2025 17:35,2802.02,Credit,fac343c7-6cf9-45fd-9594-5c765f92295d,Completed,14-03-2025 17:35
319f45fc-41a9-4429-bf58-9a54e8739e16,90844,14-03-2025 17:35,2179.1,Refund,7d5dfe6f-cf6b-4c7a-89fd-8746c6eaa4d0,Failed,14-03-2025 17:35
1889cf20-b6d5-4b0e-9f48-f5dcbf2ef373,59716,14-03-2025 17:35,1119.13,Debit,42774536-76e0-4647-bba9-2d16a8ac7b21,Pending,14-03-2025 17:35
3d7ae982-c69c-49bd-9a38-b574c0163d4c,22377,14-03-2025 17:35,4225.12,Transfer,2f006ec2-b595-401c-b84a-c7c59bcc0a35,Failed,14-03-2025 17:35
4674d607-d66a-4cb7-b308-3b8b95ea3621,78372,14-03-2025 17:35,4007.83,Transfer,1602335a-f7a5-40dd-a93e-8e12d1d2a6f2,Failed,14-03-2025 17:35
e0518589-2ea8-4307-a2d7-f80b4dc3acb7,10697,14-03-2025 17:35,3859.02,Credit,c953a8ab-783c-4611-b6bf-184ce74ea4a1,Failed,14-03-2025 17:35
2924f53c-e606-4636-bb1f-0e71b58f1c7a,18682,14-03-2025 17:35,1026.46,Refund,e2a0312e-6aa9-417f-8bbd-65b5e03aaf14,Completed,14-03-2025 17:35
500269ab-ba58-464c-b31b-2c8bed96cfc8,81869,14-03-2025 17:35,1910.97,Debit,03f69ca6-e91e-4532-bd0e-540126491958,Completed,14-03-2025 17:35
