account_id,customer_id,account_type,account_status,balance,created_date
90740167-12d5-447d-a90b-a71aedec2d1c,e29c7398-17d6-4f51-a949-cf68e0b8d471,Checking,Suspended,31312.37,26-01-2005
66eb0aa1-68a7-4237-84cc-1b81150ca3bc,7626d288-250b-4c6d-a102-8a625c5814b8,Credit,Active,12508.2,22-05-2010
425523f0-0d63-4bff-a823-19434bf2e713,6febe04e-0e91-481c-8a65-4967a6b01002,Credit,Suspended,14757.87,21-09-2014
9ba3cbaf-b490-4dfb-8064-8217271dca38,39296ac4-9808-4373-a36a-d35b01dbd03b,Checking,Active,4473.03,16-11-2003
2445c5c2-0f48-46ee-b2e9-2c86086fdf96,a94da87a-d33f-45cb-829c-f31e9170d7b3,Savings,Suspended,11445.98,20-06-2005
8ad357a8-df8e-485b-a1bf-e5f3e59f0416,096b9193-40cc-4a11-a839-6a40cf8c6e45,Savings,Closed,46704.35,15-07-2015
b4ef8627-3338-4e5b-8820-9c3c4a6860c2,8e859dd1-470f-4005-9061-06db9caf43fc,Savings,Suspended,18158.8,19-02-2017
c087acaa-631a-4325-8ff3-f3c499a08598,7a912f7e-05bd-440d-bf2e-5c2e86863ea9,Savings,Closed,22493.2,10-09-2009
67aa176b-adb2-4361-92c6-2b2f7bbcf30c,e4a8a4a2-4ec4-4f34-8629-3e2ba72538c1,Checking,Suspended,49856.39,13-01-2002
19aff331-22b1-4559-a890-acd64d7a73b6,0b24922e-553c-4d78-85ba-084afebe80e7,Savings,Active,30137.29,02-05-2012
54d9acb0-0bda-4bfd-89c2-a9b6e8e23e8b,9e45cb70-9887-42a2-8ff4-81dfea9feb37,Credit,Active,15451.02,22-05-2012
028ecffc-4aa8-4fda-b4fa-8f5de5d1af94,32798c78-a226-4a4a-ac25-2e375da31494,Savings,Active,11096.38,13-07-2017
554577e6-7834-4df6-994b-10407f3f6ac2,d0b4a3ad-7518-4097-b8cb-3aaee9da47f1,Credit,Active,34251.23,05-01-2007
397beee7-3ef5-4b8b-8439-d79702e67c6c,012f4f67-64be-46a9-be44-6b5ad8f2f7da,Savings,Suspended,38066.76,20-12-2015
9e6ee234-0d1c-4230-a3d8-dd237cb624f6,ab1caf14-e6ee-4ca5-a9f1-04d8a9e9c2d3,Credit,Suspended,3661.82,24-06-2001
e7d611a3-cf9f-4af7-b444-02a388278222,58e572da-753c-4927-979e-2d2a50a3b9f9,Savings,Suspended,40956.89,20-06-2003
81c629f8-4d6b-476a-a491-884a5f4a6247,e9801062-aa15-400e-a126-2df43ed88188,Savings,Active,1230.86,10-08-2021
79878dcc-1514-4dd4-9079-fd122337196c,de03f41b-b2e5-4bea-ba33-c9631d7d7dbb,Credit,Active,28319.28,18-04-2023
dc1af8d6-158a-4aee-b485-4c6d4c0d5a81,2714cccb-17a5-44ea-ad73-0bd7097957e1,Credit,Closed,7218.41,27-01-2006
c8caf568-1d4c-4d01-8a6c-07b2ee9d77a6,28b5459f-dcfa-478f-a760-3c2013394bb9,Credit,Suspended,16603.07,08-11-2019
0f179cf4-d27c-445e-bda1-85ab8ba473ce,b693ddd3-48d0-4399-91e0-b9cfd48a85df,Credit,Closed,7907.23,19-02-2021
ead128af-8bc6-4eea-b4a8-0b6d2ebc63e3,4ff3f03b-c91c-45d1-9fde-4e81ec5cbd30,Checking,Suspended,27685.61,27-12-2006
ea2ae6ad-7ca2-4b1c-ad90-75b289ec9b7a,8009adfd-52ba-4ca6-a7b1-f953d1fe34ff,Checking,Active,18415.62,15-08-2000
1e7e00d8-11ed-48c1-84a5-88f2a697e62e,b79bb932-d8cc-42e6-bcf8-e66f8f9171cb,Checking,Suspended,10977.3,12-02-2010
cf40d811-f14b-40a2-9443-f83cabf42544,5815f9a5-8dd7-4c73-be47-784fc7d242fa,Checking,Active,28753.85,22-05-2019
cbfd3d5d-b996-4744-8a25-4fb67f3771dd,5b92a07b-bcbf-4b1b-9f8c-b6398848cdb7,Savings,Suspended,26962.33,17-04-2006
918128f0-eb2e-4267-ba1a-29bec9d6c6dc,9c3b6d4a-3416-43b0-9e93-8287018a2d2e,Checking,Closed,13843.48,21-05-2007
971f1113-6c5c-4a40-83c3-f200cd11102a,6b062723-25f7-468b-8c87-2465b6245047,Savings,Active,7332.12,24-02-2022
